sampletype	sample	r1	r2	se
rils	qg2547	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2547.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2547.R.fastq.gz	
rils	qg2548			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2548.SE.fastq.gz
rils	qg2549			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2549.SE.fastq.gz
rils	qg2550			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2550.SE.fastq.gz
rils	qg2551			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2551.SE.fastq.gz
rils	qg2552			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2552.SE.fastq.gz
rils	qg2553			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2553.SE.fastq.gz
rils	qg2554	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2554.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2554.R.fastq.gz	
rils	qg2555	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2555.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2555.R.fastq.gz	
rils	qg2556	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2556.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2556.R.fastq.gz	
rils	qg2557			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2557.SE.fastq.gz
rils	qg2558			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2558.SE.fastq.gz
rils	qg2559	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2559.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2559.R.fastq.gz	
rils	qg2560			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2560.SE.fastq.gz
rils	qg2561	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2561.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2561.R.fastq.gz	
rils	qg2562	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2562.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2562.R.fastq.gz	
rils	qg2563			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2563.SE.fastq.gz
rils	qg2564			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2564.SE.fastq.gz
rils	qg2565			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2565.SE.fastq.gz
rils	qg2566			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2566.SE.fastq.gz
rils	qg2567	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2567.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2567.R.fastq.gz	
rils	qg2568			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2568.SE.fastq.gz
rils	qg2569			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2569.SE.fastq.gz
rils	qg2570			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2570.SE.fastq.gz
rils	qg2571			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2571.SE.fastq.gz
rils	qg2572	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2572.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2572.R.fastq.gz	
rils	qg2573			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2573.SE.fastq.gz
rils	qg2574			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2574.SE.fastq.gz
rils	qg2575			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2575.SE.fastq.gz
rils	qg2576	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2576.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2576.R.fastq.gz	
rils	qg2577			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2577.SE.fastq.gz
rils	qg2578			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2578.SE.fastq.gz
rils	qg2579			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2579.SE.fastq.gz
rils	qg2580			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2580.SE.fastq.gz
rils	qg2581			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2581.SE.fastq.gz
rils	qg2582			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2582.SE.fastq.gz
rils	qg2583			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2583.SE.fastq.gz
rils	qg2584			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2584.SE.fastq.gz
rils	qg2585			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2585.SE.fastq.gz
rils	qg2586	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2586.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2586.R.fastq.gz	
rils	qg2587			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2587.SE.fastq.gz
rils	qg2588			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2588.SE.fastq.gz
rils	qg2589			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2589.SE.fastq.gz
rils	qg2590			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2590.SE.fastq.gz
rils	qg2591	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2591.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2591.R.fastq.gz	
rils	qg2592	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2592.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2592.R.fastq.gz	
rils	qg2593			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2593.SE.fastq.gz
rils	qg2594	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2594.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2594.R.fastq.gz	
rils	qg2595			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2595.SE.fastq.gz
rils	qg2596	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2596.F.fastq.gz	/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2596.R.fastq.gz	
rils	qg2597			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2597.SE.fastq.gz
rils	qg2598			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2598.SE.fastq.gz
rils	qg2599			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2599.SE.fastq.gz
rils	qg2600			/scratch/cgsb/rockman/open/ctrop_RIL_fastq/qg2600.SE.fastq.gz
